python-5/_pylong-segmentation_fault	SIGSEGV	method_vectorcall_NOARGS@Objects/descrobject.c:448	method_vectorcall_NOARGS@Objects/descrobject.c:448;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;_PyEval_EvalFrameDefault@Python/generated_cases.c.h:1906;
python-5/_warnings-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_PyVectorcall_Call@Objects/call.c:273;
python-5/_socket-segmentation_fault	SIGSEGV	warn_unicode@Python/_warnings.c:1335	warn_unicode@Python/_warnings.c:1335;_PyErr_WarnFormatV@Python/_warnings.c:1355;PyErr_ResourceWarning@Python/_warnings.c:1394;
python-5/asyncio-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/asyncio-segmentation_fault-exitcode1	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/asyncio_base_events-segmentation_fault	NOREPRO	?	;
python-5/asyncio_events-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCall_StackRefSteal@Python/ceval.c:726;
python-5/asyncio_streams-segmentation_fault-2	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/asyncio_streams-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/asyncio_tasks-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/asyncio_threads-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/codeop-segmentation_fault-2	SIGSEGV	method_vectorcall_O@Objects/descrobject.c:476	method_vectorcall_O@Objects/descrobject.c:476;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;_PyEval_EvalFrameDefault@Python/generated_cases.c.h:1906;
python-5/codeop-segmentation_fault	SIGSEGV	method_vectorcall_O@Objects/descrobject.c:476	method_vectorcall_O@Objects/descrobject.c:476;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;_PyEval_EvalFrameDefault@Python/generated_cases.c.h:1906;
python-5/colorsys-segmentation_fault-exitcode1	NOREPRO	?	;
python-5/decimal-segmentation_fault-2	NOREPRO	?	;
python-5/decimal-segmentation_fault	NOREPRO	?	;
python-5/concurrent_futures_process-segmentation_fault	SIGABRT	code_dealloc@Objects/codeobject.c:2440	code_dealloc@Objects/codeobject.c:2440;_Py_Dealloc@Objects/object.c:3319;r_object@Python/marshal.c:1676;
python-5/email_charset-segmentation_fault	NOREPRO	?	;
python-5/email__policybase-segmentation_fault	NOREPRO	?	;
python-5/email_generator-segmentation_fault-2	SIGSEGV	_PyMem_DebugCheckAddress@Objects/obmalloc.c:3344	_PyMem_DebugCheckAddress@Objects/obmalloc.c:3344;_PyMem_DebugRawFree@Objects/obmalloc.c:3166;free_list_items@Objects/listobject.c:68;
python-5/email_generator-segmentation_fault	SIGSEGV	_PyMem_DebugCheckAddress@Objects/obmalloc.c:3344	_PyMem_DebugCheckAddress@Objects/obmalloc.c:3344;_PyMem_DebugRawFree@Objects/obmalloc.c:3166;free_list_items@Objects/listobject.c:68;
python-5/email_utils-segmentation_fault	NOREPRO	?	;
python-5/encodings-segmentation_fault-3	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/encodings-segmentation_fault-2	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
python-5/encodings-segmentation_fault	SIGSEGV	warnings_warn_impl@Python/_warnings.c:1184	warnings_warn_impl@Python/_warnings.c:1184;cfunction_vectorcall_FASTCALL_KEYWORDS@Objects/methodobject.c:465;_Py_VectorCallInstrumentation_StackRefSteal@Python/ceval.c:768;
